,name,mass,fall,year,reclat,reclong,GeoLocation
134,Borkut,7000.0,Fell,1852.0,48.15,24.28333,"(48.150000, 24.283330)"
135,Borodino,500.0,Fell,1812.0,55.46667,35.86667,"(55.466670, 35.866670)"
136,Botschetschki,614.0,Fell,1823.0,51.33333,33.88333,"(51.333330, 33.883330)"
137,Boumdeid (2003),190.0,Fell,2003.0,17.71067,-11.3715,"(17.710670, -11.371500)"
138,Boumdeid (2011),3599.0,Fell,2011.0,17.17493,-11.34133,"(17.174930, -11.341330)"
139,Bovedy,5460.0,Fell,1969.0,54.56667,-6.33333,"(54.566670, -6.333330)"
140,Bradford Woods,762.0,Fell,1886.0,40.5,-80.08333,"(40.500000, -80.083330)"
141,Braunau,39000.0,Fell,1847.0,50.6,16.3,"(50.600000, 16.300000)"
142,Breitscheid,1500.0,Fell,1956.0,50.66694,8.18361,"(50.666940, 8.183610)"
143,Bremervörde,7250.0,Fell,1855.0,53.4,9.1,"(53.400000, 9.100000)"
144,Brient,219.0,Fell,1933.0,52.13333,59.31667,"(52.133330, 59.316670)"
145,Bruderheim,303000.0,Fell,1960.0,53.9,-112.88333,"(53.900000, -112.883330)"
146,Bukhara,5300.0,Fell,2001.0,39.77978,64.60035,"(39.779780, 64.600350)"
148,Bunburra Rockhole,324.0,Fell,2007.0,-31.35,129.19,"(-31.350000, 129.190000)"
149,Bununu,357.0,Fell,1942.0,10.01667,9.58333,"(10.016670, 9.583330)"
150,Bur-Gheluai,120000.0,Fell,1919.0,5.0,48.0,"(5.000000, 48.000000)"
151,Burnwell,1504.0,Fell,1990.0,37.62194,-82.23722,"(37.621940, -82.237220)"
152,Bursa,25000.0,Fell,1946.0,40.2,29.23333,"(40.200000, 29.233330)"
153,Buschhof,5000.0,Fell,1863.0,46.45,25.78333,"(46.450000, 25.783330)"
154,Bustee,1500.0,Fell,1852.0,26.78333,82.83333,"(26.783330, 82.833330)"
155,Butsura,29000.0,Fell,1861.0,27.08333,84.08333,"(27.083330, 84.083330)"
156,Buzzard Coulee,41000.0,Fell,2008.0,52.996,-109.84817,"(52.996000, -109.848170)"
157,Cabezo de Mayo,25000.0,Fell,1870.0,37.98333,-1.16667,"(37.983330, -1.166670)"
158,Cabin Creek,48500.0,Fell,1886.0,35.5,-93.5,"(35.500000, -93.500000)"
159,Cacak,212.0,Fell,1919.0,43.83889,20.33333,"(43.838890, 20.333330)"
160,Cali,478.0,Fell,2007.0,3.405,-76.51,"(3.405000, -76.510000)"
161,Calivo,2400.0,Fell,1916.0,11.75,122.33333,"(11.750000, 122.333330)"
162,Campos Sales,23680.0,Fell,1991.0,-7.03333,-40.16667,"(-7.033330, -40.166670)"
163,Çanakkale,4000.0,Fell,1964.0,39.8,26.6,"(39.800000, 26.600000)"
164,Cañellas,945.0,Fell,1861.0,41.25,1.66667,"(41.250000, 1.666670)"
165,Cangas de Onis,34000.0,Fell,1866.0,43.38333,-5.15,"(43.383330, -5.150000)"
166,Canon City,1400.0,Fell,1973.0,38.47028,-105.24139,"(38.470280, -105.241390)"
167,Cape Girardeau,2300.0,Fell,1846.0,37.26667,-89.58333,"(37.266670, -89.583330)"
168,Capilla del Monte,750.0,Fell,1934.0,-30.88333,-64.55,"(-30.883330, -64.550000)"
169,Carancas,342.0,Fell,2007.0,-16.66444,-69.04389,"(-16.664440, -69.043890)"
170,Caratash,8.0,Fell,1902.0,38.5,27.0,"(38.500000, 27.000000)"
171,Castalia,7300.0,Fell,1874.0,36.08333,-78.06667,"(36.083330, -78.066670)"
173,Castine,94.0,Fell,1848.0,44.38333,-68.75,"(44.383330, -68.750000)"
174,Castrovillari,15000.0,Fell,1583.0,39.8,16.2,"(39.800000, 16.200000)"
175,Caswell County,1360.0,Fell,1810.0,36.5,-79.25,"(36.500000, -79.250000)"
176,Ceniceros,1025.0,Fell,1988.0,26.46667,-105.23333,"(26.466670, -105.233330)"
177,Centerville,45.6,Fell,1956.0,43.2,-96.91667,"(43.200000, -96.916670)"
178,Cereseto,6460.0,Fell,1840.0,45.08333,8.3,"(45.083330, 8.300000)"
179,Chadong,3700.0,Fell,1998.0,28.53333,109.31667,"(28.533330, 109.316670)"
180,Chail,0.5,Fell,1814.0,25.36667,81.66667,"(25.366670, 81.666670)"
181,Chainpur,8200.0,Fell,1907.0,25.85,83.48333,"(25.850000, 83.483330)"
182,Chajari,18300.0,Fell,1933.0,-30.78333,-58.05,"(-30.783330, -58.050000)"
183,Chandakapur,8800.0,Fell,1838.0,20.26667,76.01667,"(20.266670, 76.016670)"
184,Chandpur,1100.0,Fell,1885.0,27.28333,79.05,"(27.283330, 79.050000)"
185,Changde,1810.0,Fell,1977.0,29.08333,111.75,"(29.083330, 111.750000)"
186,Chantonnay,31500.0,Fell,1812.0,46.68333,1.05,"(46.683330, 1.050000)"
187,Charlotte,4300.0,Fell,1835.0,36.16667,-87.33333,"(36.166670, -87.333330)"
188,Charsonville,27000.0,Fell,1810.0,47.93333,1.56667,"(47.933330, 1.566670)"
189,Charwallas,12000.0,Fell,1834.0,29.48333,75.5,"(29.483330, 75.500000)"
190,Chassigny,4000.0,Fell,1815.0,47.71667,5.36667,"(47.716670, 5.366670)"
191,Château-Renard,30000.0,Fell,1841.0,47.93333,2.91667,"(47.933330, 2.916670)"
192,Chaves,2945.0,Fell,1925.0,41.93333,-7.46667,"(41.933330, -7.466670)"
193,Chela,2936.0,Fell,1988.0,-3.66667,32.5,"(-3.666670, 32.500000)"
194,Chelyabinsk,100000.0,Fell,2013.0,54.81667,61.11667,"(54.816670, 61.116670)"
195,Chergach ,100000.0,Fell,2007.0,23.69639,-5.01472,"(23.696390, -5.014720)"
196,Chernyi Bor,6000.0,Fell,1964.0,53.7,30.1,"(53.700000, 30.100000)"
197,Cherokee Springs,8400.0,Fell,1933.0,35.03333,-81.88333,"(35.033330, -81.883330)"
198,Chervettaz,705.0,Fell,1901.0,46.55,6.81667,"(46.550000, 6.816670)"
199,Chervony Kut,1700.0,Fell,1939.0,50.83333,34.0,"(50.833330, 34.000000)"
200,Chetrinahatti,72.0,Fell,1880.0,14.5,76.5,"(14.500000, 76.500000)"
201,Chiang Khan,367.0,Fell,1981.0,17.9,101.63333,"(17.900000, 101.633330)"
202,Chicora,303.0,Fell,1938.0,40.93333,-79.73333,"(40.933330, -79.733330)"
203,Chisenga,3920.0,Fell,1988.0,-10.05944,33.395,"(-10.059440, 33.395000)"
205,Chitenay,4000.0,Fell,1978.0,47.47083,0.97667,"(47.470830, 0.976670)"
206,Cilimus,1600.0,Fell,1979.0,-6.95,108.1,"(-6.950000, 108.100000)"
207,Claxton,1455.0,Fell,1984.0,32.1025,-81.87278,"(32.102500, -81.872780)"
209,Colby (Wisconsin),104000.0,Fell,1917.0,44.9,-90.28333,"(44.900000, -90.283330)"
210,Cold Bokkeveld,5200.0,Fell,1838.0,-33.13333,19.38333,"(-33.133330, 19.383330)"
211,Coleman,469.0,Fell,1994.0,43.76111,-84.50778,"(43.761110, -84.507780)"
212,Collescipoli,5000.0,Fell,1890.0,42.53333,12.61667,"(42.533330, 12.616670)"
213,Conquista,20350.0,Fell,1965.0,-19.85,-47.55,"(-19.850000, -47.550000)"
214,Cosina,1200.0,Fell,1844.0,21.16667,-100.86667,"(21.166670, -100.866670)"
215,Cranganore,1460.0,Fell,1917.0,10.2,76.26667,"(10.200000, 76.266670)"
216,Crescent,78.4,Fell,1936.0,35.95,-97.58333,"(35.950000, -97.583330)"
217,Cronstad,3650.0,Fell,1877.0,-27.7,27.3,"(-27.700000, 27.300000)"
218,Cross Roads,167.0,Fell,1892.0,35.63333,-78.13333,"(35.633330, -78.133330)"
219,Crumlin,4255.0,Fell,1902.0,54.61667,-6.21667,"(54.616670, -6.216670)"
220,Cumberland Falls,17000.0,Fell,1919.0,36.83333,-84.35,"(36.833330, -84.350000)"
221,Cynthiana,6000.0,Fell,1877.0,38.4,-84.25,"(38.400000, -84.250000)"
222,Dahmani,18000.0,Fell,1981.0,35.61667,8.83333,"(35.616670, 8.833330)"
223,Dandapur,5650.0,Fell,1878.0,26.91667,83.96667,"(26.916670, 83.966670)"
224,Daniel's Kuil,1064.0,Fell,1868.0,-28.2,24.56667,"(-28.200000, 24.566670)"
225,Danville,2000.0,Fell,1868.0,34.4,-87.06667,"(34.400000, -87.066670)"
226,Darmstadt,100.0,Fell,1804.0,49.86667,8.65,"(49.866670, 8.650000)"
227,Dashoguz,7000.0,Fell,1998.0,41.98444,59.685,"(41.984440, 59.685000)"
228,Daule,6580.0,Fell,2008.0,-1.87089,-79.95756,"(-1.870890, -79.957560)"
229,De Cewsville,340.0,Fell,1887.0,43.0,-80.0,"(43.000000, -80.000000)"
230,Deal,28.0,Fell,1829.0,40.25,-74.0,"(40.250000, -74.000000)"
231,Delhi,0.8,Fell,1897.0,28.56667,77.25,"(28.566670, 77.250000)"
232,Demina,16400.0,Fell,1911.0,51.46667,84.76667,"(51.466670, 84.766670)"
233,Denver,230.0,Fell,1967.0,39.7825,-104.93056,"(39.782500, -104.930560)"
234,Dergaon,12500.0,Fell,2001.0,26.68333,93.86667,"(26.683330, 93.866670)"
235,Desuri,25400.0,Fell,1962.0,25.73333,73.61667,"(25.733330, 73.616670)"
236,Devgaon,12000.0,Fell,2001.0,19.0,81.0,"(19.000000, 81.000000)"
237,Devri-Khera,1140.0,Fell,1994.0,24.225,76.525,"(24.225000, 76.525000)"
238,Dhajala,45000.0,Fell,1976.0,22.37778,71.42722,"(22.377780, 71.427220)"
239,Dharwar,1800.0,Fell,1848.0,14.88333,75.6,"(14.883330, 75.600000)"
240,Dhurmsala,32000.0,Fell,1860.0,32.23333,76.46667,"(32.233330, 76.466670)"
241,Didim,3396.0,Fell,2007.0,37.35172,27.32997,"(37.351720, 27.329970)"
242,Diep River,1000.0,Fell,1906.0,-33.75,18.56667,"(-33.750000, 18.566670)"
243,Distrito Quebracho,400.0,Fell,1957.0,-31.88333,-60.46667,"(-31.883330, -60.466670)"
244,Djati-Pengilon,166000.0,Fell,1884.0,-7.5,111.5,"(-7.500000, 111.500000)"
245,Djermaia,3950.0,Fell,1961.0,12.73333,15.05,"(12.733330, 15.050000)"
246,Djoumine,10000.0,Fell,1999.0,36.95,9.55,"(36.950000, 9.550000)"
247,Dokachi,3840.0,Fell,1903.0,23.5,90.33333,"(23.500000, 90.333330)"
248,Dolgovoli,1600.0,Fell,1864.0,50.75,25.3,"(50.750000, 25.300000)"
249,Domanitch,438.0,Fell,1907.0,40.0,29.0,"(40.000000, 29.000000)"
250,Dong Ujimqin Qi,128800.0,Fell,1995.0,45.5,119.03333,"(45.500000, 119.033330)"
251,Donga Kohrod,230.0,Fell,1899.0,21.86667,82.45,"(21.866670, 82.450000)"
252,Dongtai,5500.0,Fell,1970.0,32.91667,120.78333,"(32.916670, 120.783330)"
253,Doroninsk,3891.0,Fell,1805.0,51.2,112.3,"(51.200000, 112.300000)"
254,Dosso,1250.0,Fell,1962.0,13.05,3.16667,"(13.050000, 3.166670)"
255,Douar Mghila,1161.0,Fell,1932.0,32.33333,-6.3,"(32.333330, -6.300000)"
256,Dowa,642.0,Fell,1976.0,-13.66667,33.91667,"(-13.666670, 33.916670)"
257,Drake Creek,5000.0,Fell,1827.0,36.4,-86.5,"(36.400000, -86.500000)"
258,Dresden (Ontario),47700.0,Fell,1939.0,42.52,-82.26,"(42.520000, -82.260000)"
259,Dubrovnik,1900.0,Fell,1951.0,42.45833,18.44167,"(42.458330, 18.441670)"
260,Dunbogan,30.0,Fell,1999.0,-31.66667,152.83333,"(-31.666670, 152.833330)"
261,Dundrum,2270.0,Fell,1865.0,52.55,-8.03333,"(52.550000, -8.033330)"
263,Durala,13200.0,Fell,1815.0,30.3,76.63333,"(30.300000, 76.633330)"
264,Duruma,577.0,Fell,1853.0,-4.0,39.5,"(-4.000000, 39.500000)"
265,Duwun,2117.0,Fell,1943.0,33.43333,127.26667,"(33.433330, 127.266670)"
266,Dwaleni,3230.0,Fell,1970.0,-27.2,31.31667,"(-27.200000, 31.316670)"
267,Dyalpur,300.0,Fell,1872.0,26.25,82.0,"(26.250000, 82.000000)"
268,Dyarrl Island,188.0,Fell,1933.0,-3.0,151.0,"(-3.000000, 151.000000)"
269,Eagle,10000.0,Fell,1947.0,40.78167,-96.47167,"(40.781670, -96.471670)"
270,Ehole,2400.0,Fell,1961.0,-17.3,15.83333,"(-17.300000, 15.833330)"
271,Eichstädt,3000.0,Fell,1785.0,48.9,11.21667,"(48.900000, 11.216670)"
272,Ekeby,3336.0,Fell,1939.0,56.03333,13.0,"(56.033330, 13.000000)"
273,Ekh Khera,840.0,Fell,1916.0,28.26667,78.78333,"(28.266670, 78.783330)"
274,El Idrissia,10000.0,Fell,1989.0,34.41667,3.25,"(34.416670, 3.250000)"
275,El Paso de Aguila,17226.0,Fell,1977.0,25.37,-97.37,"(25.370000, -97.370000)"
276,El Tigre,5000.0,Fell,1993.0,19.96722,-103.05167,"(19.967220, -103.051670)"
277,Elbert,680.5,Fell,1998.0,39.24667,-104.58817,"(39.246670, -104.588170)"
278,Elbogen,107000.0,Fell,1399.0,50.18333,12.73333,"(50.183330, 12.733330)"
279,Elenovka,54640.0,Fell,1951.0,47.83333,37.66667,"(47.833330, 37.666670)"
280,Ellemeet,1470.0,Fell,1925.0,51.75,4.0,"(51.750000, 4.000000)"
281,Emmaville,127.0,Fell,1900.0,-29.46667,151.61667,"(-29.466670, 151.616670)"
282,Enshi,8000.0,Fell,1974.0,30.3,109.5,"(30.300000, 109.500000)"
283,Ensisheim,127000.0,Fell,1491.0,47.86667,7.35,"(47.866670, 7.350000)"
284,Épinal,277.0,Fell,1822.0,48.18333,6.46667,"(48.183330, 6.466670)"
285,Erakot,113.0,Fell,1940.0,19.03333,81.89167,"(19.033330, 81.891670)"
286,Erevan,107.2,Fell,1911.0,40.3,44.5,"(40.300000, 44.500000)"
287,Ergheo,20000.0,Fell,1889.0,1.16667,44.16667,"(1.166670, 44.166670)"
288,Erxleben,2250.0,Fell,1812.0,52.21667,11.25,"(52.216670, 11.250000)"
289,Esnandes,1500.0,Fell,1837.0,46.25,-1.1,"(46.250000, -1.100000)"
290,Essebi,500.0,Fell,1957.0,2.88333,30.83333,"(2.883330, 30.833330)"
291,Estherville,320000.0,Fell,1879.0,43.41667,-94.83333,"(43.416670, -94.833330)"
292,Farmington,89400.0,Fell,1890.0,39.75,-97.03333,"(39.750000, -97.033330)"
293,Farmville,56000.0,Fell,1934.0,35.55,-77.53333,"(35.550000, -77.533330)"
294,Favars,1500.0,Fell,1844.0,44.38333,2.81667,"(44.383330, 2.816670)"
295,Fayetteville,2360.0,Fell,1934.0,36.05,-94.16667,"(36.050000, -94.166670)"
296,Feid Chair,380.0,Fell,1875.0,36.88333,8.45,"(36.883330, 8.450000)"
297,Felix,3200.0,Fell,1900.0,32.53333,-87.16667,"(32.533330, -87.166670)"
298,Fenghsien-Ku,82.0,Fell,1924.0,34.6,116.75,"(34.600000, 116.750000)"
299,Ferguson,220.0,Fell,1889.0,36.1,-81.41667,"(36.100000, -81.416670)"
300,Fermo,10200.0,Fell,1996.0,43.18111,13.75333,"(43.181110, 13.753330)"
301,Fisher,17600.0,Fell,1894.0,47.81667,-96.85,"(47.816670, -96.850000)"
302,Florence,3640.0,Fell,1922.0,30.83333,-97.76667,"(30.833330, -97.766670)"
303,Forest City,152000.0,Fell,1890.0,43.25,-93.66667,"(43.250000, -93.666670)"
304,Forest Vale,26000.0,Fell,1942.0,-33.35,146.85833,"(-33.350000, 146.858330)"
305,Forksville,6067.0,Fell,1924.0,36.78333,-78.08333,"(36.783330, -78.083330)"
